session_id,label,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
l21,U,0,0,0,0,0,-868,1620,13756,-598,-161,-146
l21,U,0,0,0,0,0,-896,1660,13920,-578,-142,-143
l21,U,0,0,0,0,0,-904,1564,13860,-629,-166,-151
l21,U,0,0,0,0,0,-880,1476,13712,-598,-135,-141
l21,U,0,0,0,0,0,-820,1544,13700,-573,-121,-161
l21,U,0,0,0,0,0,-988,1432,13452,-654,-121,-158
l21,U,0,0,0,0,0,-848,1672,13864,-608,-182,-188
l21,U,0,0,0,0,0,-844,1516,13728,-604,-175,-151
l21,U,0,0,0,0,0,-796,1492,13684,-598,-141,-147
l21,U,0,0,0,0,0,-780,1544,13784,-560,-149,-161
l21,U,0,0,0,0,0,-772,1524,13864,-570,-140,-167
l21,U,0,0,0,0,0,-904,1644,13936,-612,-154,-142
l21,U,0,0,0,0,0,-800,1536,13916,-603,-173,-158
l21,U,0,0,0,0,0,-772,1572,13732,-590,-160,-153
l21,U,0,0,0,0,0,-796,1608,13756,-576,-144,-149
l21,U,0,0,0,0,0,-784,1580,13784,-569,-170,-143
l21,U,0,0,0,0,0,-1032,1540,13748,-584,-148,-161
l21,U,0,0,0,0,0,-848,1628,13772,-591,-169,-153
l21,U,0,0,0,0,0,-860,1608,13740,-607,-148,-158
l21,U,0,0,0,0,0,-900,1540,13636,-565,-168,-164
l21,U,0,0,0,0,0,-876,1544,13792,-587,-162,-149
l21,U,0,0,0,0,0,-928,1592,13904,-621,-153,-164
l21,U,0,0,0,0,0,-800,1568,13704,-574,-135,-142
l21,U,0,0,0,0,0,-820,1344,13640,-548,-127,-151
l21,U,0,0,0,0,0,-896,1604,13924,-601,-178,-157
l21,U,0,0,0,0,0,-816,1512,13804,-575,-154,-158
l21,U,0,0,0,0,0,-880,1508,13976,-609,-146,-164
l21,U,0,0,0,0,0,-832,1576,13856,-583,-141,-146
l21,U,0,0,0,0,0,-940,1744,13720,-626,-143,-179
l21,U,0,0,0,0,0,-844,1572,13792,-585,-129,-161
l21,U,0,0,0,0,0,-912,1536,13708,-553,-147,-146
l21,U,0,0,0,0,0,-712,1592,13856,-574,-151,-175
l21,U,0,0,0,0,0,-888,1576,13864,-577,-113,-156
l21,U,0,0,0,0,0,-792,1604,13884,-585,-169,-143
l21,U,0,0,0,0,0,-800,1552,13764,-596,-152,-153
l21,U,0,0,0,0,0,-760,1560,13748,-564,-160,-152
l21,U,0,0,0,0,0,-912,1560,13816,-587,-161,-147
l21,U,0,0,0,0,0,-836,1564,13648,-566,-118,-169
l21,U,0,0,0,0,0,-836,1456,13968,-632,-167,-124
l21,U,0,0,0,0,0,-840,1576,13660,-586,-132,-149
l21,U,0,0,0,0,0,-916,1584,13756,-577,-154,-163
l21,U,0,0,0,0,0,-796,1560,13716,-586,-119,-142
l21,U,0,0,0,0,0,-900,1460,13640,-663,-135,-193
l21,U,0,0,0,0,0,-724,1536,13728,-588,-159,-133
l21,U,0,0,0,0,0,-928,1548,13816,-572,-155,-177
l21,U,0,0,0,0,0,-712,1540,13660,-582,-149,-144
l21,U,0,0,0,0,0,-796,1472,13684,-587,-147,-173
l21,U,0,0,0,0,0,-852,1636,13772,-617,-157,-164
l21,U,0,0,0,0,0,-892,1684,13856,-584,-134,-179
l21,U,0,0,0,0,0,-780,1540,13772,-587,-127,-154
l21,U,0,0,0,0,0,-936,1732,13728,-598,-143,-176
l21,U,0,0,0,0,0,-860,1780,13760,-567,-143,-160
l21,U,0,0,0,0,0,-816,1656,13812,-613,-163,-150
l21,U,0,0,0,0,0,-948,1592,13700,-609,-122,-158
l21,U,0,0,0,0,0,-948,1620,13864,-577,-160,-174
l21,U,0,0,0,0,0,-820,1544,13696,-584,-176,-124
l21,U,0,0,0,0,0,-816,1552,13804,-587,-137,-149
l21,U,0,0,0,0,0,-864,1560,13936,-573,-164,-176
l21,U,0,0,0,0,0,-912,1632,13796,-593,-138,-170
l21,U,0,0,0,0,0,-812,1552,13856,-597,-132,-155
l21,U,0,0,0,0,0,-748,1584,13840,-594,-188,-133
l21,U,0,0,0,0,0,-800,1648,13656,-571,-168,-158
l21,U,0,0,0,0,0,-888,1524,13804,-569,-176,-117
l21,U,0,0,0,0,0,-852,1560,13840,-561,-171,-178
l21,U,0,0,0,0,0,-844,1568,14056,-581,-146,-169
l21,U,0,0,0,0,0,-900,1632,13796,-585,-128,-160
l21,U,0,0,0,0,0,-856,1556,13864,-589,-151,-153
l21,U,0,0,0,0,0,-900,1532,13704,-587,-152,-168
l21,U,0,0,0,0,0,-780,1568,13740,-603,-151,-162
l21,U,0,0,0,0,0,-880,1608,13884,-602,-161,-150
l21,U,0,0,0,0,0,-880,1524,13536,-576,-133,-158
l21,U,0,0,0,0,0,-872,1540,13844,-599,-144,-145
l21,U,0,0,0,0,0,-872,1648,13732,-572,-176,-171
l21,U,0,0,0,0,0,-920,1472,13892,-576,-161,-155
l21,U,0,0,0,0,0,-880,1592,13824,-632,-170,-125
l21,U,0,0,0,0,0,-864,1484,13864,-593,-153,-141
l21,U,0,0,0,0,0,-928,1596,13816,-617,-166,-136
l21,U,0,0,0,0,0,-876,1500,13752,-561,-182,-153
l21,U,0,0,0,0,0,-916,1532,13804,-609,-156,-150
l21,U,0,0,0,0,0,-860,1692,13808,-596,-145,-151
l21,U,0,0,0,0,0,-880,1632,13788,-567,-137,-158
l21,U,0,0,0,0,0,-768,1536,13732,-575,-146,-127
l21,U,0,0,0,0,0,-844,1552,13848,-560,-149,-182
l21,U,0,0,0,0,0,-964,1636,13952,-565,-166,-181
l21,U,0,0,0,0,0,-924,1572,13956,-589,-153,-160
l21,U,0,0,0,0,0,-840,1636,13736,-585,-161,-164
l21,U,0,0,0,0,0,-836,1556,13760,-583,-152,-135
l21,U,0,0,0,0,0,-832,1588,13788,-553,-156,-156
l21,U,0,0,0,0,0,-868,1556,13564,-585,-122,-164
l21,U,0,0,0,0,0,-828,1696,13900,-535,-154,-140
l21,U,0,0,0,0,0,-796,1664,13748,-601,-155,-139
l21,U,0,0,0,0,0,-864,1348,13880,-664,-85,-272
l21,U,0,0,0,0,0,-768,1672,13828,-569,-177,-161
l21,U,0,0,0,0,0,-900,1556,13800,-543,-166,-140
l21,U,0,0,0,0,0,-904,1544,13792,-622,-154,-156
l21,U,0,0,0,0,0,-700,1620,13808,-596,-152,-153
l21,U,0,0,0,0,0,-848,1564,13856,-601,-132,-144
l21,U,0,0,0,0,0,-784,1648,13748,-559,-182,-115
l21,U,0,0,0,0,0,-860,1524,13784,-584,-134,-158
l21,U,0,0,0,0,0,-852,1500,13656,-625,-156,-195
