session_id,label,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
g1,Rest,0,0,0,0,0,-3016,-1944,13632,-95,-630,-134
g1,Rest,0,0,0,0,0,-3532,-1704,13184,-827,-155,485
g1,Rest,0,0,0,0,0,-3640,-1908,13144,-355,196,-27
g1,Rest,0,0,0,0,0,-3600,-1528,13484,91,-184,-779
g1,Rest,0,0,0,0,0,-3416,-1588,13864,-192,16,-1197
g1,Rest,0,0,0,0,0,-4600,-2020,13164,-1021,-122,-2462
g1,Rest,0,0,0,0,0,-3832,-1976,13240,-2738,545,-3143
g1,Rest,0,0,0,0,0,-3236,-2052,13164,-1579,1380,-2970
g1,Rest,0,0,0,0,0,-3100,-2372,12936,-545,1599,-3736
g1,Rest,0,0,0,0,0,-4104,-3324,12176,-281,600,-3736
g1,Rest,0,0,0,0,0,-1996,-2308,13528,153,632,-3282
g1,Rest,0,0,0,0,0,-3748,-3152,13512,1006,-1207,-1429
g1,Rest,0,0,0,0,0,-4336,-2664,13448,-392,-1324,-1194
g1,Rest,0,0,0,0,0,-2740,-3248,12828,-1348,-950,-1105
g1,Rest,0,0,0,0,0,-3256,-3252,12220,-1559,-188,-135
g1,Rest,0,0,0,0,0,-3856,-3412,12920,-495,-194,-196
g1,Rest,0,0,0,0,0,-3300,-3816,13372,-361,-726,-1125
g1,Rest,0,0,0,0,0,-2884,-4380,12940,160,-1215,-2123
g1,Rest,0,0,0,0,0,-2608,-3908,13120,-2504,-180,-867
g1,Rest,144,0,0,0,0,-2860,-4096,11852,-2168,-197,-1
g1,Rest,203,0,91,161,0,-2632,-4540,12524,8,-1601,93
g1,Rest,192,0,381,14,0,-2288,-4536,12996,-769,-618,424
g1,Rest,48,0,380,0,0,-2384,-4072,13236,-1713,333,370
g1,Rest,0,0,289,0,0,-2492,-4772,12468,-354,-341,-174
g1,Rest,0,0,0,0,0,-2796,-5144,12932,-912,-10,-606
g1,Rest,0,0,0,0,0,-2940,-4836,12852,-752,-301,-1338
g1,Rest,0,0,0,0,0,-2188,-4760,12468,1024,-722,-2148
g1,Rest,0,0,0,0,0,-3076,-5124,12708,378,-539,-3467
g1,Rest,0,0,0,0,0,-3040,-4476,12960,-2232,2015,-5057
g1,Rest,0,0,0,0,0,-1912,-4204,12420,-884,2405,-3305
g1,Rest,0,0,0,0,0,-1772,-3904,12320,495,49,-2739
g1,Rest,10,0,289,288,0,-1548,-3860,12748,1952,-751,-1121
g1,Rest,241,298,313,304,0,-1816,-4184,13012,-156,418,238
g1,Rest,489,105,417,0,5,-2436,-4220,12628,-62,179,403
g1,Rest,283,0,165,0,0,-2996,-4592,12128,2776,-986,-910
g1,Rest,0,0,0,0,0,-2500,-4112,12820,-517,-412,-713
g1,Rest,0,0,0,0,0,-3636,-3472,13832,2263,372,-1728
g1,Rest,0,0,35,0,0,-2872,-3224,13640,1684,1013,-1494
g1,Rest,0,0,376,0,0,-3180,-3604,12772,1277,440,-2444
g1,Rest,0,0,0,0,0,-2832,-2120,12172,1594,-944,-2988
g1,Rest,0,0,0,0,0,-2440,-1604,13560,3670,-512,-1883
g1,Rest,0,0,0,0,0,-2072,-1244,13876,3742,-1016,-1339
g1,Rest,0,0,0,0,0,-1532,-120,13620,4376,-2676,-91
g1,Rest,0,0,0,0,0,-1812,568,14324,3512,-3201,580
g1,Rest,0,0,0,0,0,-100,1696,14792,1726,-2791,1876
g1,Rest,0,0,0,0,0,180,1960,13888,1877,-1584,2233
g1,Rest,0,0,0,0,0,-312,2256,13616,-271,-147,2091
g1,Rest,0,0,0,0,0,-828,1804,14284,-2719,509,1825
g1,Rest,0,0,65,35,0,272,1836,14020,-1695,171,1497
g1,Rest,315,107,443,0,0,-212,1392,12956,-854,-979,1197
g1,Rest,511,145,378,0,0,336,1640,13596,-1045,-795,1717
g1,Rest,470,79,386,0,141,564,1360,13708,178,-1088,1702
g1,Rest,379,0,271,0,0,204,1264,13808,-397,-700,1422
g1,Rest,144,0,16,0,0,380,1996,13412,1277,-1384,503
g1,Rest,85,0,25,0,0,1248,2236,13628,749,-990,-115
g1,Rest,0,0,0,0,0,1104,2384,13188,212,-167,-434
g1,Rest,0,0,0,0,0,1852,2828,13436,979,-21,-200
g1,Rest,0,0,0,0,0,1524,3428,14324,2839,-1420,-24
g1,Rest,0,0,0,0,102,1076,3284,13516,-387,-356,113
g1,Rest,0,0,0,0,206,1204,3508,13052,-568,226,163
g1,Rest,78,0,29,0,0,1612,4048,13064,-211,-22,-298
g1,Rest,384,0,191,0,0,1220,4032,13392,-765,-310,-206
g1,Rest,434,0,261,0,0,1612,4216,13364,-684,49,-221
g1,Rest,547,0,434,0,0,1748,4224,12800,-594,435,410
g1,Rest,694,0,391,0,0,1184,3724,13264,-412,-36,368
g1,Rest,615,0,368,0,0,1140,3404,14212,-2115,1124,453
g1,Rest,752,0,406,0,0,532,2372,15040,-6529,3614,540
g1,Rest,583,0,459,0,0,-472,1184,14252,-10876,5515,-261
g1,Rest,206,0,116,0,0,-1396,-680,12964,-10307,4405,-1917
g1,Rest,27,0,0,0,0,-2628,-2304,12244,-6277,2990,-1301
g1,Rest,0,0,0,0,0,-3792,-3992,11540,-4737,1931,-1204
g1,Rest,0,0,0,0,0,-2996,-4784,12440,-1195,-22,-581
g1,Rest,0,0,0,0,0,-2888,-4408,12780,-1232,-104,128
g1,Rest,0,0,0,0,0,-2920,-4096,12528,103,381,-83
g1,Rest,0,0,0,0,0,-3008,-4236,12056,-333,633,-401
g1,Rest,0,0,0,0,0,-2896,-4444,11812,2046,-1257,-934
g1,Rest,0,0,0,0,0,-1532,-3460,13240,4964,-3028,-1375
g1,Rest,0,0,0,0,0,-2064,-2064,13536,2641,-2400,-481
g1,Rest,0,0,0,0,0,-11300,-19124,-32768,6731,-5597,578
g1,Rest,0,0,0,0,0,-3496,-2008,17096,7050,-336,-214
g1,Rest,0,0,0,0,0,-2268,-2052,13716,-3,1064,1365
g1,Rest,0,0,0,0,0,-1856,-2248,12828,-5924,1242,369
g1,Rest,0,0,0,0,0,-1892,-2716,13692,2100,-990,-1108
g1,Rest,0,0,0,0,0,-2948,-3024,13696,-41,424,-658
g1,Rest,0,0,0,0,0,-2836,-2176,13336,2042,-321,-291
g1,Rest,0,0,0,0,0,-1740,752,14760,2282,-827,-2672
g1,Rest,0,0,0,0,0,-440,-2736,12624,3394,-860,-3690
g1,Rest,0,0,0,0,0,-2212,-476,12080,3649,-7932,-5600
g1,Rest,0,0,0,0,0,-484,-648,12492,6172,-5150,-9828
g1,Rest,0,0,0,0,0,-836,1260,12732,3130,-2690,-9091
g1,Rest,0,0,0,0,0,1228,696,13252,-2854,3003,-4695
g1,Rest,0,0,0,0,0,1056,904,12592,-2825,40,2323
g1,Rest,0,0,0,0,0,-912,1948,14368,8421,-992,-1048
g1,Rest,0,0,0,0,0,1196,2200,14344,5549,-2618,-976
g1,Rest,0,0,0,0,0,2512,3776,12632,3100,-3948,-1789
g1,Rest,0,0,0,0,0,904,4592,11660,7419,-3601,-1935
g1,Rest,0,0,0,0,0,756,5868,10924,8515,-2099,-3594
g1,Rest,0,0,0,0,0,2232,9076,10724,15658,-2710,-2700
g1,Rest,0,0,0,0,0,780,9956,8860,6861,-1346,-2955
g1,Rest,0,0,0,0,0,468,10912,8984,5221,-2352,-4086
g1,Rest,0,0,0,0,0,-304,13316,5620,7937,-1607,-2351
g1,Rest,0,0,0,0,0,-936,16040,1172,12396,510,-2932
g1,Rest,0,0,0,0,0,312,15812,-648,9592,-346,1732
g1,Rest,0,0,0,0,0,-176,15880,-3308,16717,6044,5063
g1,Rest,0,0,0,0,0,812,16216,-5400,13667,-701,1633
g1,Rest,0,0,0,0,0,112,16672,-8932,9169,-2060,1068
g1,Rest,0,0,0,0,0,624,14484,-9288,2105,135,34
g1,Rest,0,0,0,0,0,260,15544,-9396,-1670,156,-769
g1,Rest,0,0,0,0,0,548,15008,-9112,-1358,-235,-468
g1,Rest,0,0,0,0,0,416,15240,-9084,-1490,333,102
g1,Rest,0,0,0,0,0,352,15108,-8872,-1458,-91,-337
g1,Rest,0,0,0,0,0,380,15340,-8852,-978,337,-193
g1,Rest,0,0,0,0,0,108,15488,-8828,-1061,239,243
g1,Rest,0,0,0,0,0,160,15556,-8296,-1469,177,-152
g1,Rest,0,0,0,0,0,236,15260,-8516,-1404,-20,-242
g1,Rest,0,0,0,0,0,432,15356,-8144,-1669,-374,-485
g1,Rest,0,0,0,0,0,380,15148,-8216,-1499,-393,-341
g1,Rest,0,0,0,0,0,208,15796,-7608,-1719,98,-253
g1,Rest,0,0,0,0,152,248,16112,-6964,-3984,589,81
g1,Rest,0,0,0,0,208,364,16756,-5000,-10639,1874,1
g1,Rest,0,0,0,0,0,904,18940,-2748,-24495,4433,3208
g1,Rest,0,0,0,0,0,2140,15240,2832,-29246,2790,5416
g1,Rest,0,0,0,0,0,1648,12016,8124,-20513,3415,3416
g1,Rest,0,0,0,0,0,1288,10400,8720,-12447,3000,2630
g1,Rest,0,0,0,0,0,1140,8448,10584,-11053,2696,1538
g1,Rest,0,99,0,0,0,288,6716,11320,-9487,1994,379
g1,Rest,0,119,9,0,0,68,3984,12560,-6315,1261,427
g1,Rest,0,0,75,0,62,-528,3760,13192,-4156,1192,1035
g1,Rest,0,146,67,0,0,16,3080,13324,-2220,444,483
g1,Rest,0,144,238,0,0,124,2696,14164,-3247,795,828
g1,Rest,0,127,288,0,0,-540,1944,13864,-954,470,756
g1,Rest,0,352,339,0,0,104,2036,14676,-2766,671,958
g1,Rest,0,323,176,0,95,-676,1284,13696,-2944,586,1244
g1,Rest,0,101,143,0,59,-1028,492,13508,-982,-64,31
g1,Rest,0,58,239,0,55,-868,640,13324,-677,-277,-202
g1,Rest,0,80,85,0,0,-964,356,13544,-565,-152,128
g1,Rest,0,0,50,0,0,-1496,-48,13408,-598,-154,470
g1,Rest,0,0,0,0,0,628,736,13988,-1730,324,1019
g1,Rest,0,0,0,0,0,-288,496,13740,-1390,-383,1727
g1,Rest,0,0,0,0,0,-1384,-56,13452,164,686,2008
g1,Rest,0,0,0,0,0,-1524,-280,13540,-1648,864,2466
g1,Rest,0,0,0,0,0,-608,-156,13952,-36,372,3218
g1,Rest,0,0,0,0,0,-1284,-316,14104,-147,-176,2165
g1,Rest,0,0,0,0,0,-1556,588,13360,-2848,1100,2039
g1,Rest,0,0,0,0,0,-2164,-12,13920,-2718,550,1276
g1,Rest,0,0,0,0,0,-2088,108,13392,-2263,776,1105
g1,Rest,0,0,0,0,0,-2008,-292,13164,-82,164,940
g1,Rest,0,0,0,0,0,-2184,-148,13520,1165,-220,451
g1,Rest,0,0,0,0,0,-2288,-204,13928,140,432,865
g1,Rest,0,0,0,0,0,-2552,224,14096,-1546,450,1499
g1,Rest,0,0,0,0,0,-2416,-168,13884,-66,-126,796
g1,Rest,0,0,0,0,0,-2664,-520,13524,449,-217,108
g1,Rest,0,0,0,0,0,-2220,168,13860,-644,347,474
g1,Rest,0,0,0,0,0,-2648,32,13668,-497,-445,882
g1,Rest,0,0,0,0,0,-2936,404,13508,592,-378,1073
g1,Rest,0,0,0,0,0,-2380,12,13776,-1292,231,784
g1,Rest,0,0,0,0,0,-2160,-224,13388,-500,-510,947
g1,Rest,0,0,0,0,0,-2396,-232,13552,-759,-301,712
g1,Rest,0,0,0,0,0,-2352,368,13380,260,-508,-54
g1,Rest,0,0,0,0,0,-1636,840,13368,-734,-309,-254
g1,Rest,0,0,0,0,0,-2336,168,13136,-58,222,129
g1,Rest,0,0,0,0,0,-2340,452,13536,-804,162,66
g1,Rest,0,0,0,0,0,-2036,872,13784,-608,-184,-161
g1,Rest,0,0,0,0,0,-2592,888,13500,-133,-289,448
g1,Rest,0,0,0,0,0,-2100,508,13636,-388,220,10
g1,Rest,0,0,0,0,0,-2664,84,13596,-1677,378,247
g1,Rest,0,0,0,0,0,-2804,496,13392,-1558,39,82
g1,Rest,0,0,0,0,0,-2248,240,13492,-962,-44,-135
g1,Rest,0,0,0,0,0,-2280,636,13744,-277,-399,-218
g1,Rest,0,0,0,0,0,-2632,476,13252,-489,-383,-156
g1,Rest,0,0,0,0,0,-2660,44,13292,-1059,344,-219
g1,Rest,0,0,0,0,0,-2508,84,13380,-739,69,46
g1,Rest,0,0,0,0,0,-2476,172,13332,-500,90,-238
g1,Rest,0,0,0,0,0,-2792,380,13688,-375,-215,-398
g1,Rest,0,0,0,0,0,-2588,-44,13360,-615,-107,-485
g1,Rest,0,0,0,0,0,-2524,840,13632,-1059,4,25
g1,Rest,0,0,0,0,0,-2552,400,13312,-601,-343,203
g1,Rest,0,0,0,0,0,-2892,456,13688,-620,-263,74
g1,Rest,0,0,0,0,0,-2572,152,13488,-531,-519,-456
g1,Rest,0,0,0,0,0,-1444,180,13528,-1063,-663,-506
g1,Rest,0,0,0,0,0,-2408,588,13200,-770,-225,55
g1,Rest,0,0,0,0,0,-2336,304,13804,-1139,261,-189
g1,Rest,189,0,0,0,0,-2380,144,13788,-1831,562,-716
g1,Rest,80,0,0,0,0,-2456,764,13548,-581,634,-857
g1,Rest,0,0,0,0,0,-2436,580,13748,1882,13,-2046
g1,Rest,0,0,0,0,0,-3936,-132,13172,22,416,-1937
g1,Rest,0,0,0,0,0,-3060,-420,14220,-1234,449,-1846
g1,Rest,0,0,0,0,0,-3280,-752,13804,-3234,447,-2136
g1,Rest,0,0,0,0,0,-2976,-1124,13180,-815,-605,-1152
