session_id,label,f1,f2,f3,f4,f5,roll,pitch,yaw,gx,gy,gz
rest,Rest,124.726,7.093,51.438,354.274,0.027,-0.024,-0.06,-1.0,0.431,0.446,-0.114
rest,Rest,79.086,4.501,31.334,243.14,0.019,-0.016,-0.059,-1.0,0.332,0.382,0.11
rest,Rest,45.993,2.297,18.21,159.525,0.014,-0.008,-0.056,-1.0,0.495,0.391,0.15
rest,Rest,28.999,1.629,12.42,99.201,0.01,-0.001,-0.053,-1.0,0.262,0.644,-0.004
rest,Rest,20.572,1.156,8.814,61.148,0.007,0.007,-0.047,-1.0,0.603,0.967,0.207
rest,Rest,18.997,1.072,8.282,127.944,0.011,0.015,-0.04,-1.0,0.08,1.154,0.316
rest,Rest,13.807,0.779,6.02,360.499,31.158,0.023,-0.03,-1.0,0.704,1.179,-0.456
rest,Rest,10.036,0.566,4.377,531.824,48.015,0.032,-0.018,-1.0,0.356,1.079,-1.217
rest,Rest,7.296,6.699,23.472,588.718,35.421,0.039,-0.002,-1.0,0.413,0.94,-1.472
rest,Rest,5.305,29.834,35.681,428.262,25.568,0.045,0.014,-1.0,0.629,0.616,-1.126
rest,Rest,2.644,23.245,27.02,299.98,17.561,0.053,0.029,-1.0,0.571,0.133,-0.724
rest,Rest,1.881,16.698,19.178,189.907,10.175,0.059,0.042,-1.0,0.398,-0.074,-0.752
rest,Rest,2.041,11.359,13.229,134.112,20.779,0.066,0.055,-1.0,0.087,-0.085,-0.867
rest,Rest,1.485,7.511,8.535,115.314,51.326,0.071,0.065,-1.0,-0.125,0.024,-0.973
rest,Rest,1.08,4.613,5.58,244.228,59.374,0.072,0.073,-1.0,-0.177,0.007,-1.046
rest,Rest,0.786,3.351,4.055,358.809,43.522,0.071,0.081,-1.0,0.031,-0.013,-0.65
rest,Rest,0.572,2.435,2.947,446.987,31.113,0.069,0.085,-1.0,0.154,-0.014,-0.373
rest,Rest,0.416,1.77,2.142,412.063,21.201,0.067,0.088,-1.0,0.046,0.08,-0.179
rest,Rest,0.303,1.286,1.557,300.92,13.726,0.065,0.091,-1.0,0.075,0.006,-0.081
rest,Rest,0.221,0.935,1.132,208.274,26.392,0.063,0.093,-1.0,0.274,0.155,0.15
rest,Rest,0.089,0.483,0.572,127.585,18.708,0.062,0.095,-1.0,-0.145,0.234,-0.058
rest,Rest,0.117,0.494,0.599,94.137,51.93,0.06,0.094,-1.0,-0.259,0.182,0.125
rest,Rest,0.085,0.359,0.435,270.578,68.214,0.059,0.093,-1.0,-0.108,0.053,0.057
rest,Rest,0.062,0.261,0.317,412.716,49.845,0.058,0.091,-1.0,0.046,0.015,0.16
rest,Rest,0.045,12.479,0.23,572.557,35.431,0.057,0.089,-1.0,-0.049,0.24,-0.066
rest,Rest,52.33,96.431,0.168,582.71,24.684,0.056,0.087,-1.0,0.282,0.158,0.023
rest,Rest,156.053,110.703,0.122,420.966,16.017,0.057,0.085,-1.0,0.281,0.162,0.235
rest,Rest,320.714,95.326,0.089,292.725,41.768,0.057,0.084,-1.0,-0.063,0.269,0.263
rest,Rest,303.299,68.639,0.065,198.354,30.862,0.058,0.084,-1.0,-0.109,0.275,0.071
rest,Rest,228.203,46.707,0.027,111.978,21.964,0.06,0.085,-1.0,-0.157,0.255,-0.021
rest,Rest,154.633,27.513,0.019,71.33,15.293,0.061,0.085,-1.0,-0.2,0.184,-0.228
rest,Rest,103.128,20.509,0.025,202.881,11.05,0.062,0.084,-1.0,0.146,0.034,-0.095
rest,Rest,66.539,14.425,0.018,404.886,6.972,0.062,0.084,-1.0,0.33,-0.099,-0.399
rest,Rest,46.071,10.482,0.013,443.844,5.066,0.062,0.083,-1.0,0.315,0.176,-0.498
rest,Rest,301.532,77.061,0.01,348.448,3.682,0.062,0.083,-1.0,0.306,0.138,-0.601
rest,Rest,616.741,94.004,8.009,249.04,2.676,0.063,0.084,-1.0,0.375,-0.155,-1.148
rest,Rest,743.166,69.189,5.951,175.143,1.946,0.063,0.084,-1.0,0.345,-0.156,-1.162
rest,Rest,563.944,50.333,4.546,101.208,0.994,0.062,0.084,-1.0,0.292,0.049,-1.117
rest,Rest,391.582,33.317,3.15,63.957,0.707,0.061,0.083,-1.0,0.097,0.185,-1.119
rest,Rest,261.488,21.86,2.079,155.886,0.748,0.058,0.084,-1.0,0.464,0.064,-0.943
rest,Rest,170.525,14.631,1.239,417.153,0.544,0.057,0.084,-1.0,0.124,0.074,-1.122
rest,Rest,178.432,10.631,0.9,604.085,0.396,0.056,0.085,-1.0,-0.026,0.127,-0.961
rest,Rest,333.034,16.584,0.654,606.191,108.311,0.054,0.084,-1.0,-0.096,0.025,-1.104
rest,Rest,488.203,12.198,28.767,439.589,176.5,0.051,0.085,-1.0,-0.062,-0.02,-0.862
rest,Rest,509.879,20.903,32.514,307.694,130.257,0.047,0.085,-1.0,0.058,0.095,-0.058
rest,Rest,375.236,15.026,25.002,190.707,97.1,0.042,0.086,-1.0,0.123,-0.09,0.215
rest,Rest,256.409,10.53,17.593,115.8,64.801,0.038,0.086,-1.0,-0.098,0.013,0.379
rest,Rest,163.29,6.92,11.542,74.094,37.765,0.034,0.087,-1.0,0.097,0.117,0.362
rest,Rest,99.335,4.557,6.452,52.575,22.012,0.03,0.088,-1.0,0.196,0.082,0.612
rest,Rest,79.837,3.41,4.973,200.987,44.217,0.028,0.089,-1.0,0.17,0.269,0.614
rest,Rest,58.015,2.478,3.613,387.745,189.71,0.026,0.089,-1.0,-0.241,0.194,0.233
rest,Rest,42.164,1.801,2.626,464.618,255.129,0.027,0.089,-1.0,0.09,0.216,-0.043
rest,Rest,64.084,15.027,1.908,378.195,187.681,0.026,0.089,-1.0,0.257,0.328,-0.183
rest,Rest,42.268,11.444,1.021,272.636,137.028,0.027,0.088,-1.0,0.551,0.174,-0.108
rest,Rest,30.366,8.267,0.725,177.567,90.285,0.031,0.086,-1.0,-0.011,0.12,-0.181
rest,Rest,24.707,5.806,0.733,142.322,59.723,0.034,0.083,-1.0,0.141,-0.029,-0.005
rest,Rest,14.103,3.666,0.367,82.67,31.794,0.04,0.08,-1.0,0.519,-0.073,0.333
rest,Rest,8.355,1.919,0.261,56.979,22.556,0.045,0.075,-1.0,-0.402,0.222,0.102
rest,Rest,8.291,1.735,0.282,191.272,20.855,0.05,0.071,-1.0,-0.68,0.245,-0.259
rest,Rest,6.029,1.261,0.205,328.929,15.157,0.052,0.066,-1.0,-0.075,0.137,0.019
rest,Rest,4.384,4.346,79.881,456.894,21.592,0.054,0.062,-1.0,0.051,0.112,-0.17
rest,Rest,3.189,3.214,99.078,399.075,15.867,0.055,0.06,-1.0,0.465,0.237,-0.198
rest,Rest,1.519,2.294,76.521,291.08,10.081,0.055,0.059,-1.0,0.296,0.168,0.045
rest,Rest,1.082,1.596,53.966,192.62,7.06,0.056,0.059,-1.0,0.035,0.224,-0.256
rest,Rest,0.771,1.031,35.561,120.364,4.702,0.056,0.06,-1.0,0.174,0.141,-0.313
rest,Rest,0.549,0.561,20.09,72.815,2.815,0.057,0.06,-1.0,-0.375,0.189,-0.498
rest,Rest,0.391,0.398,12.274,48.477,2.0,0.053,0.062,-1.0,-0.167,0.109,-0.562
rest,Rest,0.473,0.379,10.989,342.216,20.053,0.049,0.063,-1.0,0.164,-0.027,-0.747
rest,Rest,201.817,200.033,148.015,719.379,140.039,0.043,0.064,-1.0,0.39,-0.063,-0.718
rest,Rest,460.884,326.959,151.008,830.205,213.625,0.04,0.064,-1.0,0.338,-0.004,-0.649
rest,Rest,377.383,241.302,110.959,607.448,157.372,0.039,0.063,-1.0,-0.111,0.016,-0.468
rest,Rest,284.643,179.942,80.684,435.918,116.431,0.037,0.062,-1.0,-0.299,0.125,-0.66
rest,Rest,193.474,120.094,52.726,277.931,76.985,0.035,0.061,-1.0,-0.137,-0.196,-0.574
rest,Rest,117.717,70.0,29.228,165.191,45.151,0.031,0.06,-1.0,-0.163,-0.171,-0.313
rest,Rest,80.281,50.07,23.279,197.071,32.73,0.027,0.059,-1.0,-0.196,0.147,-0.486
rest,Rest,57.081,36.376,16.914,157.193,55.786,0.021,0.058,-1.0,-0.11,0.352,-0.303
rest,Rest,32.406,20.526,9.409,101.062,38.51,0.015,0.058,-1.0,0.481,0.45,-0.338
rest,Rest,23.0,14.57,6.68,71.215,27.669,0.012,0.057,-1.0,0.684,-0.064,-0.124
rest,Rest,21.906,13.962,6.494,160.054,25.216,0.013,0.054,-1.0,0.209,-0.081,0.432
rest,Rest,15.924,45.872,66.163,314.822,86.006,0.015,0.05,-1.0,-0.052,0.476,-0.236
rest,Rest,11.578,33.924,108.53,238.303,115.417,0.014,0.048,-1.0,0.045,-0.145,0.154
rest,Rest,5.86,23.999,83.277,173.078,87.079,0.012,0.045,-1.0,-0.656,0.523,0.05
rest,Rest,4.168,16.698,59.145,118.016,61.599,0.008,0.045,-1.0,-0.373,-0.071,0.302
rest,Rest,2.965,10.798,39.593,72.75,41.01,0.011,0.048,-1.0,0.14,0.024,0.662
rest,Rest,2.111,5.888,23.28,41.514,24.14,0.012,0.048,-1.0,0.341,-0.022,0.301
rest,Rest,2.357,5.516,16.798,78.925,18.141,0.014,0.046,-1.0,0.197,-0.119,0.179
rest,Rest,1.715,4.01,12.204,293.229,49.761,0.015,0.045,-0.994,0.168,0.502,-0.136
rest,Rest,1.248,2.915,41.161,462.588,83.913,0.015,0.044,-0.956,-0.071,0.437,-0.09
rest,Rest,0.908,2.119,62.448,340.747,176.206,0.014,0.045,-0.895,-0.24,0.604,0.05
rest,Rest,0.661,1.541,46.033,245.663,138.363,0.012,0.046,-0.832,0.096,-0.261,-0.517
rest,Rest,0.277,0.758,33.328,165.867,101.949,0.01,0.049,-0.775,0.082,-0.343,-0.432
rest,Rest,0.198,0.539,22.395,98.736,68.142,0.009,0.05,-0.716,0.417,0.196,0.011
rest,Rest,0.141,0.384,13.34,57.836,42.545,0.011,0.049,-0.646,-0.096,0.336,0.347
rest,Rest,0.186,0.431,9.889,52.172,78.761,0.011,0.05,-0.583,-0.441,0.125,-0.685
rest,Rest,0.072,0.195,5.586,29.118,55.375,0.009,0.05,-0.538,0.205,-0.059,-0.761
rest,Rest,0.052,0.139,3.965,20.673,39.815,0.006,0.051,-0.504,0.401,0.029,-0.294
rest,Rest,0.037,0.099,2.816,14.683,27.792,0.004,0.049,-0.478,0.252,-0.073,-0.398
rest,Rest,0.026,0.071,2.0,10.433,18.272,0.003,0.048,-0.462,-0.067,0.249,-0.467
rest,Rest,0.038,0.088,2.006,62.599,13.525,0.015,0.056,-0.457,0.304,-0.206,-0.678
rest,Rest,0.028,0.064,1.459,110.362,32.691,0.032,0.07,-0.466,0.122,-0.06,-0.668
rest,Rest,0.02,0.047,1.061,185.193,46.423,0.048,0.087,-0.497,-0.094,0.013,-1.071
rest,Rest,0.015,0.034,0.772,305.261,49.338,0.058,0.101,-0.546,0.082,0.191,-0.882
rest,Rest,0.011,0.025,0.561,394.529,44.28,0.064,0.113,-0.606,0.293,0.115,-0.581
rest,Rest,0.008,69.462,14.126,399.879,45.126,0.071,0.122,-0.667,0.176,0.163,-0.468
rest,Rest,0.006,51.615,47.069,304.989,31.664,0.076,0.131,-0.725,0.14,0.091,-0.474
rest,Rest,0.002,39.439,36.649,211.116,20.537,0.08,0.138,-0.772,0.191,0.262,-0.207
rest,Rest,0.001,27.33,26.264,135.432,13.448,0.085,0.146,-0.807,0.271,0.285,-0.235
rest,Rest,0.002,18.034,17.817,114.7,17.56,0.091,0.153,-0.827,0.238,0.213,-0.174
rest,Rest,0.002,10.745,16.274,142.833,12.422,0.098,0.157,-0.836,0.409,0.117,-0.255
rest,Rest,0.001,7.806,26.947,138.591,24.773,0.105,0.16,-0.837,0.253,0.197,-0.301
rest,Rest,50.869,5.671,52.158,243.116,168.231,0.114,0.161,-0.829,0.163,-0.045,-0.199
rest,Rest,56.375,4.121,81.036,302.517,257.221,0.123,0.161,-0.816,0.25,-0.049,-0.321
rest,Rest,46.043,2.995,59.474,260.478,258.459,0.131,0.159,-0.807,0.09,-0.05,-0.601
rest,Rest,33.166,2.177,42.604,186.325,267.284,0.136,0.156,-0.81,0.199,-0.073,-0.784
rest,Rest,22.606,1.132,28.375,125.121,194.472,0.14,0.155,-0.838,0.374,0.137,-1.194
rest,Rest,12.916,0.805,17.268,77.679,126.794,0.143,0.155,-0.886,0.376,0.024,-1.257
rest,Rest,8.102,0.572,10.132,47.742,80.568,0.144,0.158,-0.92,0.429,-0.113,-1.469
rest,Rest,4.156,0.339,5.446,24.535,43.312,0.144,0.163,-0.944,0.613,-0.435,-1.171
rest,Rest,5.048,0.443,29.226,101.6,40.921,0.141,0.166,-0.961,0.608,-0.638,-1.051
rest,Rest,3.669,163.5,130.775,299.918,29.734,0.136,0.166,-0.973,0.253,-0.096,-1.231
rest,Rest,2.667,391.261,354.395,316.794,21.609,0.132,0.165,-0.981,0.707,0.089,-0.658
rest,Rest,1.939,519.72,377.441,232.024,15.707,0.127,0.164,-0.987,-0.108,0.101,-0.827
rest,Rest,1.409,467.968,311.764,165.5,11.418,0.119,0.163,-0.991,-0.21,-0.093,-0.592
rest,Rest,0.709,345.976,226.216,106.746,5.868,0.112,0.161,-0.993,-0.107,-0.118,-0.409
rest,Rest,0.504,228.145,146.763,61.747,4.172,0.106,0.157,-0.995,-0.019,-0.334,-0.183
rest,Rest,0.359,140.819,87.564,39.086,2.968,0.101,0.153,-0.997,-0.001,-0.148,0.125
rest,Rest,0.255,85.871,55.309,27.732,2.112,0.099,0.149,-0.998,-0.278,-0.031,0.152
rest,Rest,0.182,56.594,37.446,19.685,1.503,0.096,0.142,-0.998,-0.486,-0.448,0.793
rest,Rest,0.13,40.156,26.573,13.978,1.071,0.096,0.137,-0.999,-0.38,-0.64,0.259
rest,Rest,0.092,28.504,18.865,9.929,0.763,0.095,0.127,-0.999,-0.252,-0.851,0.199
rest,Rest,0.066,20.24,13.398,7.056,0.544,0.093,0.115,-0.999,-0.087,-0.696,0.263
rest,Rest,0.08,19.824,13.226,7.229,44.661,0.089,0.101,-1.0,0.354,0.003,-0.499
